,0
08/05/2013,1
06/05/2013,1
31/05/2013,1
30/07/2009,1
11/09/2017,1
15/03/2004,1
27/02/2013,1
28/12/2012,1
12/03/2012,1
11/11/2015,1
06/05/2016,1
24/01/2014,1
09/09/2015,1
17/09/2009,1
24/06/2011,1
18/03/2015,1
13/01/2011,1
13/07/2018,1
16/10/2013,1
04/08/2011,1
07/04/2012,1
04/10/2010,1
19/12/2014,1
07/05/2012,1
14/04/2014,1
31/08/2009,1
08/08/2014,1
18/01/2010,1
03/08/2009,1
30/07/2018,1
23/12/2015,1
23/05/2008,1
11/07/2012,1
19/10/2009,1
08/12/2003,1
07/08/2015,1
22/04/2017,1
26/09/2016,1
28/12/2016,1
13/06/2014,1
05/08/2016,1
06/09/2010,1
03/10/2011,1
12/11/2012,1
10/09/2018,1
29/12/2011,1
01/04/2015,1
05/09/2011,1
03/10/2018,1
20/08/2012,1
10/05/2010,1
25/03/2019,1
10/03/2008,1
21/03/2012,1
20/07/2012,1
01/10/2007,1
09/01/2015,1
06/06/2011,1
18/08/2014,1
27/06/2012,1
28/05/2014,1
30/11/2018,1
20/09/2010,1
28/06/2010,1
24/07/2017,1
07/04/2017,1
31/07/2015,1
15/08/2011,1
23/05/2016,1
21/10/2015,1
21/02/2014,1
11/03/2019,1
18/12/2017,1
16/09/2010,1
19/10/2016,1
24/11/2017,1
29/10/2012,1
03/11/2009,1
06/07/2009,1
17/01/2011,1
12/06/2013,1
27/06/2016,1
28/04/2017,1
17/08/2016,1
18/10/2004,1
19/08/2016,1
12/12/2011,1
14/02/2008,1
30/08/2013,1
04/04/2015,1
14/06/2004,1
26/08/2015,1
24/10/2018,1
14/07/2017,1
20/02/2006,1
01/03/2017,1
25/03/2010,1
28/11/2005,1
17/06/2015,1
17/05/2010,1
29/08/2016,1
23/03/2016,1
20/08/2018,1
04/01/2017,1
15/07/2015,1
13/02/2010,1
04/01/2019,1
23/08/2017,1
13/07/2015,1
27/03/2019,1
03/03/2011,1
28/05/2007,1
04/07/2012,1
14/03/2011,1
03/06/2015,1
29/07/2015,1
31/01/2018,1
20/12/2013,1
17/05/2004,1
29/03/2010,1
26/07/2004,1
14/11/2016,1
14/10/2016,1
15/09/2011,1
26/01/2015,1
26/09/2018,1
29/06/2016,1
15/10/2007,1
24/04/2017,1
19/05/2017,1
10/11/2017,1
07/05/2009,1
05/11/2012,1
06/08/2007,1
28/02/2011,1
14/08/2015,1
16/12/2010,1
12/07/2007,1
13/02/2013,1
25/02/2015,1
08/01/2016,1
30/10/2017,1
04/11/2016,1
20/04/2018,1
12/05/2014,1
25/11/2016,1
20/04/2015,1
11/04/2012,1
19/11/2018,1
15/04/2013,1
01/06/2015,1
27/07/2018,1
05/03/2018,1
13/08/2014,1
10/06/2013,1
23/06/2017,1
28/06/2013,1
07/01/2010,1
23/01/2019,1
15/01/2018,1
11/10/2013,1
26/02/2016,1
16/05/2014,1
11/02/2010,1
11/01/2017,1
09/12/2016,1
19/10/2006,1
06/02/2019,1
17/05/2017,1
24/09/2014,1
11/10/2017,1
17/05/2013,1
17/07/2017,1
01/12/2014,1
13/11/2013,1
21/12/2009,1
03/11/2014,1
19/12/2016,1
23/04/2012,1
13/06/2018,1
28/05/2009,1
29/11/2017,1
11/08/2011,1
08/09/2011,1
22/07/2010,1
27/11/2017,1
23/04/2007,1
26/10/2016,1
19/10/2012,1
16/04/2012,1
01/10/2009,1
24/04/2013,1
10/06/2016,1
05/01/2015,1
14/02/2018,1
13/02/2015,1
21/11/2016,1
24/01/2018,1
26/04/2013,1
16/11/2009,1
13/10/2015,1
14/03/2018,1
09/04/2012,1
23/08/2013,1
20/06/2018,1
12/03/2010,1
21/01/2019,1
22/04/2013,1
01/04/2010,1
25/07/2016,1
25/01/2019,1
16/04/2018,1
25/07/2018,1
21/02/2018,1
12/01/2018,1
13/08/2009,1
02/03/2016,1
09/06/2014,1
03/07/2015,1
08/07/2015,1
30/09/2015,1
11/03/2016,1
30/03/2016,1
30/11/2006,1
12/07/2017,1
15/03/2007,1
01/04/2013,1
